Ulica Bałtycka  
Ulica Bardzka  
Ulica Białoskórnicza  
Ulica Biskupia  
Ulica Borowska  
Ulica Braniborska  
Ulica Brzeska  
Ulica Marii Curie-Skłodowskiej   
Ulica Wojciecha Cybulskiego   
Ulica Czekoladowa   
Ulica Długa   
Ulica Grabiszyńska   
Ulica Graniczna   
Ulica Igielna   
Ulica Jedności Narodowej   
Ulica Kamienna   
Ulica św. Katarzyny   
Ulica Kaznodziejska   
Aleja Jana Kochanowskiego   
Ulica Hugona Kołłątaja   
Ulica Komandorska   
Ulica Tadeusza Kościuszki   
Ulica Kotlarska   
Ulica Krakowska   
Ulica Krucza   
Ulica Krupnicza   
Ulica Kuźnicza   
Ulica Legnicka   
Ulica Łaciarska   
Ulica Stanisława Małachowskiego   
Ulica Mennicza   
Ulica Miernicza   
Ulica św. Mikołaja   
Ulica Młodych Techników   
Ulica Na Grobli   
Ulica Nowowiejska   
Ulica Nowy Świat   
Ulica Obornicka   
Ulica Odrzańska   
Ulica Karola Olszewskiego   
Ulica Oławska   
Ulica Osobowicka   
Ulica Icchaka Lejba Pereca   
Ulica Józefa Piłsudskiego   
Ulica Podwale   
Ulica Pomorska   
Ulica Powstańców Śląskich   
Ulica Poznańska   
Ulica Bolesława Prusa   
Ulica Psie Budy   
Ulica gen. Kazimierza Pułaskiego   
Ulica Jana Ewangelisty Purkyniego
Ulica Władysława Reymonta   
Ulica Ruska   
Ulica Rzeźnicza   
Ulica Henryka Sienkiewicza   
Ulica ks. Piotra Skargi   
Ulica Sokolnicza   
Ulica Wita Stwosza   
Ulica Sudecka   
Ulica Swobodna   
Ulica Szczęśliwa   
Ulica Szewska   
Ulica Ślężna   
Ulica Świdnicka   
Ulica Tęczowa   
Ulica gen. Romualda Traugutta   
Ulica Trzebnicka   
Ulica Uniwersytecka   
Ulica Wielka   
Ulica Pawła Włodkowica   
Ulica Zygmunta Wróblewskiego   
Ulica Kardynała Stefana Wyszyńskiego   
Ulica Zachodnia   
Ulica Zamkowa   
Ulica Zaporoska   
Ulica Tadeusza Zielińskiego   
Ulica Żmigrodzka   
Ulica Legnicka   
Ulica Łaciarska   
Ulica Stanisława Małachowskiego   
Ulica Mennicza   
Ulica Miernicza   
Trasa Mieszczańska   
Ulica św. Mikołaja   
Ulica Młodych Techników   
Ulica Na Grobli   
Ulica Nowowiejska   
Ulica Nowy Świat   
Ulica Obornicka   
Ulica Odrzańska   
Ulica Karola Olszewskiego   
Ulica Oławska   
Ulica Borowska  
Ulica Braniborska  
Ulica Brzeska  
Ulica Marii Curie-Skłodowskiej   
Ulica Wojciecha Cybulskiego   
Ulica Czekoladowa   
Ulica Długa   
